Date,Bitcoin-BTC,Ethereum-ETH,Bitcoin-BSV,Litecoin-LTC,Monero-XMR,Dash-DASH,Kusama-KSM,Zcash-ZEC,Bitcoin Cash-BCH,Counos-CCXX
12/31/2020,29374.15,730.37,163.12,126.23,136.05,88.24,71.96,63.99,343.05,89.1
12/30/2020,29001.72,737.8,163.63,124.69,156.57,99.61,62.04,64.2,358.81,87.88
12/29/2020,28840.95,751.62,166.9,129.47,159.37,101.68,61.26,66.54,353.09,87.67
12/28/2020,27362.44,731.52,164.4,129.04,161.39,104.04,58.24,69.02,362.09,87.39
12/27/2020,27084.81,730.4,168.49,130.05,166.49,107.27,50.32,67.65,338.18,87.18
12/26/2020,26272.29,682.64,167.3,127.52,157.26,107.36,47.82,66.13,322.83,87.16
12/25/2020,26437.04,635.84,164.13,129.46,167.94,107.67,49.91,62.15,318.34,87.4
12/24/2020,24664.79,626.41,165.4,126.98,159.27,103.24,52.36,60.85,296.28,87.6
12/23/2020,23735.95,611.61,162.18,111.57,156.76,98.34,47.52,54.76,274.15,88.07
12/22/2020,23241.34,583.71,153.6,101.82,150.9,91.12,54.12,67.38,323.89,88.09
12/21/2020,23783.03,634.85,171.53,113.68,156.17,105.55,49.86,67.94,314.49,88.11
12/20/2020,22803.08,609.82,171.65,105.01,146.27,104.37,53.55,74.27,348.16,88.09
12/19/2020,23477.3,638.29,182.79,114.67,152.5,109.49,55.77,74.4,318.25,88.16
12/18/2020,23869.83,659.3,176.92,120.56,155.02,108.45,57.43,74.59,312.78,88.2
12/17/2020,23137.96,654.81,178.44,109.38,154.82,108.04,58.13,74.9,310.3,88.11
12/16/2020,22805.16,642.87,179.07,100.96,160.22,108.36,57.26,71.32,311.42,88.11
12/15/2020,21310.6,636.18,179.62,92.79,158.7,104.79,56.98,68.07,288.39,87.3
12/14/2020,19417.08,589.36,169.18,81.4,151,96.93,50.43,67.15,276.55,87.21
12/13/2020,19246.64,586.01,166.64,82.36,152.68,96.65,50.72,67.14,275.35,87.22
12/12/2020,19142.38,589.66,168.6,82,151.91,97.44,48.21,65.75,267.71,87.26
12/11/2020,18803.66,568.57,165.09,76.71,146.72,94.73,44.96,64.7,259.33,87.26
12/10/2020,18058.9,545.8,161.65,72.09,141.56,93.35,47.07,66.25,265.98,87.23
12/9/2020,18264.99,559.68,166.41,74.83,133.9,93.1,49.01,68.87,268.71,87.26
12/8/2020,18553.92,573.48,170.32,77.41,132.63,95.53,46.19,69.45,267.55,87.2
12/7/2020,18321.14,554.83,173.37,76.75,135.71,94.95,53.52,74.78,283.89,87.26
12/6/2020,19191.63,591.84,179.7,83.62,138.92,101.72,52.37,73.88,286.36,87.32
12/5/2020,19345.12,601.91,178.55,83.56,134.65,102.19,55.72,71.76,289.31,87.26
12/4/2020,19154.23,596.6,181.97,83.12,133.36,102.99,50.93,70.41,280.71,47.18
12/3/2020,18699.77,569.35,177.55,80.02,127.02,99.4,59.2,75.91,292.3,87.29
12/2/2020,19445.4,616.71,170.83,89.1,133.02,107.59,61.61,76.4,294.25,86.98
