low,high,open,close,volume,base_currency,quote_currency,date
0.4563,0.4783,0.4572,0.4699,212031,ALGO,EUR,2021-01-24
0.4128,0.4705,0.4191,0.4575,2312202,ALGO,EUR,2021-01-23
0.3528,0.4438,0.3804,0.4188,2636644,ALGO,EUR,2021-01-22
0.3691,0.4533,0.4526,0.3793,1693635,ALGO,EUR,2021-01-21
0.401,0.453,0.4317,0.4525,3203612,ALGO,EUR,2021-01-20
0.4255,0.4732,0.4688,0.4307,2442969,ALGO,EUR,2021-01-19
0.4487,0.5023,0.4868,0.4693,2592633,ALGO,EUR,2021-01-18
0.4003,0.4861,0.4241,0.4853,3202821,ALGO,EUR,2021-01-17
0.401,0.4547,0.4046,0.4261,3343759,ALGO,EUR,2021-01-16
0.3513,0.411,0.3736,0.4035,3226784,ALGO,EUR,2021-01-15
0.3537,0.3838,0.3712,0.3751,1265241,ALGO,EUR,2021-01-14
0.3116,0.3734,0.3253,0.3708,1917612,ALGO,EUR,2021-01-13
0.3201,0.3557,0.3422,0.3274,2535598,ALGO,EUR,2021-01-12
0.267,0.3709,0.3709,0.3415,5513888,ALGO,EUR,2021-01-11
0.3282,0.4164,0.3945,0.374,4199167,ALGO,EUR,2021-01-10
0.3562,0.4031,0.3729,0.3935,3686196,ALGO,EUR,2021-01-09
0.3356,0.3966,0.3774,0.3728,4252345,ALGO,EUR,2021-01-08
0.3526,0.4224,0.417,0.3782,6909353,ALGO,EUR,2021-01-07
0.3732,0.4319,0.3918,0.4152,9169044,ALGO,EUR,2021-01-06
0.3291,0.404,0.3644,0.3908,15395228,ALGO,EUR,2021-01-05
0.283,0.365,0.3305,0.3625,8499769,ALGO,EUR,2021-01-04
0.3086,0.35,0.328,0.3294,5650127,ALGO,EUR,2021-01-03
0.29,0.3793,0.3265,0.3283,17205498,ALGO,EUR,2021-01-02
0.2722,0.3545,0.2752,0.3265,24293808,ALGO,EUR,2021-01-01
0.258,0.2753,0.273,0.2753,3456875,ALGO,EUR,2020-12-31
0.2669,0.2914,0.2829,0.2725,3672931,ALGO,EUR,2020-12-30
0.2613,0.2962,0.293,0.2826,8063683,ALGO,EUR,2020-12-29
0.2572,0.2939,0.2609,0.293,4022902,ALGO,EUR,2020-12-28
0.2459,0.2739,0.2529,0.2597,6144247,ALGO,EUR,2020-12-27
