low,high,open,close,volume,base_currency,quote_currency,date
110.5,115.14,113.13,112.53,5099.84259354,LTC,EUR,2021-01-26
112.66,121.01,115.95,113.09,41372.88389929,LTC,EUR,2021-01-25
110.05,117.0,113.07,115.96,19013.18944201,LTC,EUR,2021-01-24
110.76,118.17,112.85,113.08,18739.09969089,LTC,EUR,2021-01-23
100.87,116.9,106.64,113.05,69821.42978139,LTC,EUR,2021-01-22
103.3,123.88,123.65,106.61,82617.84842303,LTC,EUR,2021-01-21
114.58,128.66,125.04,123.65,75186.44201939,LTC,EUR,2021-01-20
124.21,137.18,125.71,125.22,64897.86325384,LTC,EUR,2021-01-19
114.77,128.2,118.41,125.74,55521.32228484,LTC,EUR,2021-01-18
113.08,121.48,118.77,118.23,38326.64403455,LTC,EUR,2021-01-17
115.35,126.0,119.13,118.9,45045.47212611,LTC,EUR,2021-01-16
107.85,127.62,125.18,119.03,86882.60686386,LTC,EUR,2021-01-15
118.32,128.99,121.42,125.3,65381.21833439,LTC,EUR,2021-01-14
103.25,122.1,109.26,121.2,87529.83521095,LTC,EUR,2021-01-13
105.26,120.92,113.84,109.29,153804.74130649,LTC,EUR,2021-01-12
88.0,138.53,138.51,114.1,295924.64800769,LTC,EUR,2021-01-11
127.0,150.31,143.84,138.42,95785.7838441,LTC,EUR,2021-01-10
133.81,145.0,141.14,143.93,73808.64096865,LTC,EUR,2021-01-09
122.44,148.0,138.35,140.76,176115.30127579,LTC,EUR,2021-01-08
130.47,147.87,137.05,138.1,115657.42376994,LTC,EUR,2021-01-07
126.23,138.42,129.25,137.15,94855.19917317,LTC,EUR,2021-01-06
119.6,132.63,126.96,129.19,95875.18974247,LTC,EUR,2021-01-05
108.73,134.35,125.37,126.58,156007.60420769,LTC,EUR,2021-01-04
107.93,128.22,110.25,125.27,161104.23169107,LTC,EUR,2021-01-03
97.22,114.83,103.0,110.19,116422.92435376,LTC,EUR,2021-01-02
100.81,109.45,101.9,103.56,59390.19205857,LTC,EUR,2021-01-01
2.779,3.0215,2.9233,2.858,302180.8,OMG,EUR,2021-01-26
2.8839,3.15,2.9682,2.917,868567.4,OMG,EUR,2021-01-25
2.8396,3.1827,2.9845,2.9675,467596.5,OMG,EUR,2021-01-24
2.7222,3.0951,2.75,2.9837,916793.0,OMG,EUR,2021-01-23
2.4109,2.8875,2.6309,2.741,580547.8,OMG,EUR,2021-01-22
2.6137,3.1724,3.169,2.6449,668372.9,OMG,EUR,2021-01-21
2.8805,3.3169,3.1838,3.174,386908.5,OMG,EUR,2021-01-20
3.15,3.5812,3.4783,3.1792,949352.0,OMG,EUR,2021-01-19
3.0155,3.6761,3.1114,3.4757,1594757.4,OMG,EUR,2021-01-18
2.7667,3.1364,2.9317,3.1058,530575.1,OMG,EUR,2021-01-17
2.87,3.2,2.9818,2.9386,1041163.4,OMG,EUR,2021-01-16
2.6389,3.2032,2.6502,2.9849,1329390.9,OMG,EUR,2021-01-15
2.54,2.7888,2.67,2.6681,485988.8,OMG,EUR,2021-01-14
2.37,2.7,2.4477,2.67,360919.0,OMG,EUR,2021-01-13
2.3643,2.6915,2.5401,2.4571,813807.2,OMG,EUR,2021-01-12
2.03,2.9636,2.9636,2.5349,850666.0,OMG,EUR,2021-01-11
2.55,3.3611,3.04,2.9723,1086812.2,OMG,EUR,2021-01-10
2.7044,3.1249,2.7886,3.02,680502.3,OMG,EUR,2021-01-09
2.5288,2.9256,2.8604,2.7906,811442.8,OMG,EUR,2021-01-08
2.7702,3.1884,3.0098,2.8534,753256.6,OMG,EUR,2021-01-07
2.7293,3.2135,2.8639,3.0098,1465178.3,OMG,EUR,2021-01-06
2.5621,3.0685,2.6936,2.8603,1755750.0,OMG,EUR,2021-01-05
2.051,2.85,2.365,2.6885,1642034.8,OMG,EUR,2021-01-04
1.943,2.38,2.0479,2.3623,695090.5,OMG,EUR,2021-01-03
1.8101,2.2352,2.0865,2.0478,462446.6,OMG,EUR,2021-01-02
2.0048,2.2675,2.0242,2.0865,678057.7,OMG,EUR,2021-01-01
8.902,9.231,8.947,9.01,1587.245,UMA,EUR,2021-01-26
8.917,9.996,9.488,8.943,17259.874,UMA,EUR,2021-01-25
9.151,9.837,9.185,9.508,11514.972,UMA,EUR,2021-01-24
9.09,9.867,9.36,9.225,10423.434,UMA,EUR,2021-01-23
8.279,10.964,8.917,9.369,22211.811,UMA,EUR,2021-01-22
8.021,10.167,9.427,8.921,36577.633,UMA,EUR,2021-01-21
8.501,9.82,9.537,9.427,18598.942,UMA,EUR,2021-01-20
9.184,11.0,9.184,9.5,43974.095,UMA,EUR,2021-01-19
8.285,9.363,8.556,9.145,23980.14,UMA,EUR,2021-01-18
8.048,9.11,8.57,8.54,18817.61,UMA,EUR,2021-01-17
7.607,9.324,7.708,8.58,72970.142,UMA,EUR,2021-01-16
7.03,7.856,7.6,7.69,22796.318,UMA,EUR,2021-01-15
7.118,7.948,7.368,7.6,19845.152,UMA,EUR,2021-01-14
6.481,7.396,6.754,7.366,17610.049,UMA,EUR,2021-01-13
6.654,7.4,6.849,6.729,14192.806,UMA,EUR,2021-01-12
5.3,7.656,7.656,6.806,64927.021,UMA,EUR,2021-01-11
6.951,8.341,7.973,7.646,45683.862,UMA,EUR,2021-01-10
7.592,8.44,7.898,7.931,23044.626,UMA,EUR,2021-01-09
7.339,8.25,8.175,7.898,30428.035,UMA,EUR,2021-01-08
7.76,9.797,7.797,8.151,55721.289,UMA,EUR,2021-01-07
7.189,8.09,7.519,7.818,45356.532,UMA,EUR,2021-01-06
6.765,7.789,7.209,7.529,68163.18,UMA,EUR,2021-01-05
6.45,7.8,6.499,7.192,75627.841,UMA,EUR,2021-01-04
6.22,6.708,6.667,6.499,30860.501,UMA,EUR,2021-01-03
6.214,6.839,6.437,6.7,27436.019,UMA,EUR,2021-01-02
6.2,6.8,6.22,6.446,27657.765,UMA,EUR,2021-01-01
0.1568,0.1631,0.1592,0.1573,396358.647808,NU,GBP,2021-01-26
0.1594,0.175,0.1619,0.1594,2279990.4007,NU,GBP,2021-01-25
0.1504,0.1719,0.1512,0.1622,2580193.313894,NU,GBP,2021-01-24
0.148,0.1583,0.1502,0.1511,1207531.990885,NU,GBP,2021-01-23
0.1377,0.1601,0.1435,0.1502,3556747.482475,NU,GBP,2021-01-22
0.138,0.1708,0.1683,0.1442,3273545.94866,NU,GBP,2021-01-21
0.1581,0.1786,0.1704,0.1692,2820965.231151,NU,GBP,2021-01-20
0.1515,0.1793,0.1638,0.1717,6129136.129177,NU,GBP,2021-01-19
0.1434,0.18,0.1582,0.1639,6131213.25426,NU,GBP,2021-01-18
0.1351,0.1687,0.1412,0.1588,5826491.301787,NU,GBP,2021-01-17
0.1334,0.1448,0.1335,0.1412,3087519.891777,NU,GBP,2021-01-16
0.1251,0.1408,0.1369,0.1339,2985652.297598,NU,GBP,2021-01-15
0.133,0.1468,0.1371,0.1365,2582766.764149,NU,GBP,2021-01-14
0.1248,0.144,0.1283,0.1371,3391955.936705,NU,GBP,2021-01-13
0.1241,0.1363,0.1262,0.1275,9778677.000659,NU,GBP,2021-01-12
0.1108,0.142,0.1397,0.126,16782347.400619,NU,GBP,2021-01-11
0.135,0.1515,0.1487,0.1398,5476071.183444,NU,GBP,2021-01-10
0.1352,0.1536,0.1417,0.1483,4717648.535055,NU,GBP,2021-01-09
0.135,0.1655,0.1514,0.1423,7349488.556803,NU,GBP,2021-01-08
0.14,0.17,0.1451,0.1514,6984956.931979,NU,GBP,2021-01-07
0.1337,0.1579,0.1337,0.1441,10648028.448604,NU,GBP,2021-01-06
0.1176,0.143,0.1176,0.1338,11741738.247271,NU,GBP,2021-01-05
0.1139,0.132,0.1166,0.1176,6458661.777197,NU,GBP,2021-01-04
0.1104,0.123,0.1184,0.1164,6206839.078813,NU,GBP,2021-01-03
0.1175,0.1256,0.1234,0.1184,2472874.890971,NU,GBP,2021-01-02
0.1189,0.1294,0.1201,0.1226,2678606.882043,NU,GBP,2021-01-01
2.2997,2.6524,2.3298,2.4477,55575.37,CGLD,GBP,2021-01-26
2.0,2.49,2.0412,2.2912,504592.17,CGLD,GBP,2021-01-25
1.98,2.185,2.0556,2.0681,200540.17,CGLD,GBP,2021-01-24
1.9848,2.2908,2.2908,2.0557,264822.62,CGLD,GBP,2021-01-23
1.9,2.8383,2.2528,2.2999,968109.28,CGLD,GBP,2021-01-22
1.6212,2.8998,1.6714,2.252,656828.1,CGLD,GBP,2021-01-21
1.5518,1.9049,1.5935,1.6717,198879.41,CGLD,GBP,2021-01-20
1.5777,1.6552,1.65,1.5935,89734.54,CGLD,GBP,2021-01-19
1.5317,1.8,1.5585,1.6502,159090.19,CGLD,GBP,2021-01-18
1.4898,1.6121,1.5249,1.5594,67231.47,CGLD,GBP,2021-01-17
1.4702,1.61,1.4749,1.5155,75927.92,CGLD,GBP,2021-01-16
1.4378,1.589,1.5175,1.4726,63777.03,CGLD,GBP,2021-01-15
1.5101,1.6452,1.531,1.5181,60480.77,CGLD,GBP,2021-01-14
1.3801,1.57,1.4325,1.5248,37710.95,CGLD,GBP,2021-01-13
1.3705,1.5829,1.4449,1.4227,66112.93,CGLD,GBP,2021-01-12
1.25,1.6174,1.5903,1.4315,422084.97,CGLD,GBP,2021-01-11
1.5301,1.7265,1.68,1.5906,88377.4,CGLD,GBP,2021-01-10
1.5905,1.75,1.7101,1.6695,191708.64,CGLD,GBP,2021-01-09
1.4817,1.8413,1.6318,1.6919,256215.81,CGLD,GBP,2021-01-08
1.55,1.86,1.7189,1.632,308813.92,CGLD,GBP,2021-01-07
1.6203,1.9876,1.8975,1.71,416403.29,CGLD,GBP,2021-01-06
1.1012,3.1,1.1012,1.8952,1278920.95,CGLD,GBP,2021-01-05
1.0686,1.158,1.0822,1.0987,81003.02,CGLD,GBP,2021-01-04
1.0353,1.1,1.0593,1.0751,240194.01,CGLD,GBP,2021-01-03
1.0374,1.0865,1.0677,1.06,346949.58,CGLD,GBP,2021-01-02
1.0617,1.1146,1.0812,1.0679,42224.12,CGLD,GBP,2021-01-01
349.16,361.65,355.93,355.45,1329.39494912,BCH,EUR,2021-01-26
355.22,383.62,361.52,355.51,7266.25815973,BCH,EUR,2021-01-25
346.81,368.99,354.14,361.52,4837.0573361,BCH,EUR,2021-01-24
345.0,365.5,361.38,354.7,6597.93287654,BCH,EUR,2021-01-23
